time sourceIP destinationIP domain status
2023031300:00:32 52.223.34.187 192.168.231.57 www.lib.dendai.ac.jp 500
2023031300:00:51 104.244.42.193 192.168.76.179 www.dendai.ac.jp 200
2023031300:02:04 52.223.34.187 192.168.76.179 www.dendai.ac.jp 500
2023031300:02:57 133.20.16.174 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031300:03:30 182.22.25.124 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:03:45 172.217.175.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:03:50 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 401
2023031300:04:23 172.217.175.110 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:04:41 182.22.25.124 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:05:00 182.22.25.124 192.168.74.35 www.mail.dendai.ac.jp 200
2023031300:05:38 104.215.24.148 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:05:39 172.217.175.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:06:16 104.215.24.148 192.168.76.179 www.dendai.ac.jp 401
2023031300:06:24 133.20.51.253 192.168.231.57 www.lib.dendai.ac.jp 401
2023031300:06:44 172.217.175.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:07:06 52.119.164.121 192.168.1.163 www.media.dendai.ac.jp 401
2023031300:07:15 104.244.42.193 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:07:48 182.22.25.124 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:08:31 133.237.16.234 192.168.74.35 www.mail.dendai.ac.jp 500
2023031300:08:42 52.223.34.187 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031300:08:43 104.215.24.148 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:09:12 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:09:56 133.20.16.174 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:10:17 133.237.16.234 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:11:59 182.22.25.124 192.168.47.156 www.homepage.dendai.ac.jp 401
2023031300:12:57 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:13:06 52.223.34.187 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:14:40 133.20.51.253 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:15:24 133.20.16.174 192.168.74.35 www.mail.dendai.ac.jp 200
2023031300:15:49 52.223.34.187 192.168.76.179 www.dendai.ac.jp 200
2023031300:15:55 104.215.24.148 192.168.76.179 www.dendai.ac.jp 200
2023031300:16:25 52.119.164.121 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031300:16:28 52.223.34.187 192.168.234.152 www.unipa.dendai.ac.jp 401
2023031300:16:42 172.217.174.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:16:43 182.22.25.124 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:16:44 133.237.16.234 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031300:16:45 172.217.174.110 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:17:25 172.217.174.110 192.168.76.179 www.dendai.ac.jp 200
2023031300:17:38 182.22.25.124 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:18:07 172.217.174.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:18:28 133.237.16.234 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:18:36 182.22.25.124 192.168.231.57 www.lib.dendai.ac.jp 500
2023031300:19:12 133.20.16.174 192.168.76.179 www.dendai.ac.jp 500
2023031300:19:13 172.217.174.110 192.168.124.81 www.database.dendai.ac.jp 401
2023031300:20:07 104.244.42.193 192.168.231.57 www.lib.dendai.ac.jp 500
2023031300:20:49 52.223.34.187 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:20:50 182.22.25.124 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:21:20 172.217.174.110 192.168.76.179 www.dendai.ac.jp 200
2023031300:21:29 104.244.42.193 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031300:22:01 104.215.24.148 192.168.234.152 www.unipa.dendai.ac.jp 500
2023031300:22:04 52.119.164.121 192.168.76.179 www.dendai.ac.jp 200
2023031300:22:32 52.223.34.187 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031300:23:30 182.22.25.124 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:24:07 133.20.16.174 192.168.74.35 www.mail.dendai.ac.jp 200
2023031300:25:10 172.217.175.110 192.168.76.179 www.dendai.ac.jp 401
2023031300:25:25 172.217.175.110 192.168.76.179 www.dendai.ac.jp 401
2023031300:26:11 52.119.164.121 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:27:05 104.244.42.193 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:27:35 104.215.24.148 192.168.1.163 www.media.dendai.ac.jp 500
2023031300:28:04 133.237.16.234 192.168.231.57 www.lib.dendai.ac.jp 500
2023031300:29:43 172.217.175.110 192.168.1.163 www.media.dendai.ac.jp 401
2023031300:30:18 182.22.25.124 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:30:32 172.217.174.110 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:31:50 182.22.25.124 192.168.74.35 www.mail.dendai.ac.jp 200
2023031300:32:08 104.244.42.193 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:33:08 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:33:42 182.22.25.124 192.168.23.19 www.kyujin.dendai.ac.jp 200
